bikes_allowed,block_id,direction_id,headsign,name,wheelchair_accessible
1,C57-109,1,Kenmore,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,1,Kenmore,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,1,Kenmore,,1
1,C57-109,1,Kenmore,,1
1,C57-109,0,Watertown Yard,,1
1,C57-109,1,Kenmore,,1
1,C57-109,1,Kenmore,,1
1,A08-7,1,Haymarket via Kenmore,,1
1,A08-7,0,Watertown via Kenmore,,1
1,A08-9,0,Watertown Yard,,1
1,A08-9,1,Kenmore,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-25,1,Kenmore,,1
1,A57-25,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-27,1,Kenmore,,1
1,A57-27,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-31,1,Kenmore,,1
1,A57-31,0,Watertown Yard,,1
1,A57-29,1,Kenmore,,1
1,A57-29,0,Watertown Yard,,1
1,A57-29,1,Kenmore,,1
1,A57-29,0,Watertown Yard,,1
1,A57-29,1,Kenmore,,1
1,A57-29,0,Watertown Yard,,1
1,A57-29,1,Kenmore,,1
1,A57-29,0,Watertown Yard,,1
1,A57-29,1,Kenmore,,1
1,A57-29,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-26,1,Kenmore,,1
1,A57-26,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-32,1,Kenmore,,1
1,A57-32,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-33,0,Watertown Yard,,1
1,A57-33,1,Kenmore,,1
1,A57-34,0,Watertown Yard,,1
1,A57-34,1,Kenmore,,1
1,A57-34,0,Watertown Yard,,1
1,A57-28,1,Kenmore,,1
1,A57-28,0,Watertown Yard,,1
1,A57-28,1,Kenmore,,1
1,A57-28,0,Watertown Yard,,1
1,A57-28,1,Kenmore,,1
1,A57-30,0,Watertown Yard,,1
1,A57-30,1,Kenmore,,1
1,A57-30,0,Watertown Yard,,1
1,A57-30,1,Kenmore,,1
1,A57-30,0,Watertown Yard,,1
1,A57-30,1,Kenmore,,1
1,A57-30,0,Watertown Yard,,1
1,A57-30,1,Kenmore,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-213,0,Watertown Yard,,1
1,C57-213,1,Kenmore,,1
1,C57-219,0,Watertown Yard,,1
1,C57-219,1,Kenmore,,1
1,C57-219,0,Watertown Yard,,1
1,C57-219,1,Kenmore,,1
1,C57-219,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
1,C57-216,0,Watertown Yard,,1
1,C57-216,1,Kenmore,,1
